betaP, Volume Fraction
1.000000000000000056e-01,3.654489859487660558e-02
1.000000000000000056e-01,3.727979393490233467e-02
1.000000000000000056e-01,3.828117549859255675e-02
1.000000000000000056e-01,3.930945338840736991e-02
1.000000000000000056e-01,3.870508891473904700e-02
1.000000000000000056e-01,3.825584436347988226e-02
1.000000000000000056e-01,3.812350996358586375e-02
1.000000000000000056e-01,3.830594369039277275e-02
1.000000000000000056e-01,3.983306248136718464e-02
1.000000000000000056e-01,4.071507215015385955e-02
1.000000000000000056e-01,4.055024966316635865e-02
1.000000000000000056e-01,4.011127285061084902e-02
1.000000000000000056e-01,3.964055615683066691e-02
1.000000000000000056e-01,3.896622323306677543e-02
1.000000000000000056e-01,3.906076415780933980e-02
1.000000000000000056e-01,3.906567861440449207e-02
1.000000000000000056e-01,3.852292873141748702e-02
1.000000000000000056e-01,3.719472218246657608e-02
1.000000000000000056e-01,3.839889911815795587e-02
1.000000000000000056e-01,3.837571277823401128e-02
1.000000000000000056e-01,3.950863127487969778e-02
1.000000000000000056e-01,3.822024949275836664e-02
1.000000000000000056e-01,3.695100494743926850e-02
1.000000000000000056e-01,3.605774913787941627e-02
1.000000000000000056e-01,3.448545710945750964e-02
1.000000000000000056e-01,3.490198153251801438e-02
1.000000000000000056e-01,3.432396471498606189e-02
1.000000000000000056e-01,3.336233280053241962e-02
1.000000000000000056e-01,3.356921557102692660e-02
1.000000000000000056e-01,3.430194516333628929e-02
1.000000000000000056e-01,3.462229094179106875e-02
1.000000000000000056e-01,3.469854368196509387e-02
1.000000000000000056e-01,3.485529471646164890e-02
1.000000000000000056e-01,3.459184582612134795e-02
1.000000000000000056e-01,3.370194687600324562e-02
1.000000000000000056e-01,3.306651018462875707e-02
1.000000000000000056e-01,3.308120508201438381e-02
1.000000000000000056e-01,3.265838946357491751e-02
